n_gold,is_multi,hr_baseline,hr_graph,mrr_baseline,mrr_graph,f1_baseline,f1_graph
1,False,0.0,0.0,0.0,0.0,0.0,0.0
2,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
4,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,1.0,1.0,0.25,0.25,0.18181818181818182,0.18181818181818182
13,True,0.0,0.0,0.0,0.0,0.0,0.0
3,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182
57,True,1.0,1.0,1.0,1.0,0.05970149253731343,0.08955223880597013
57,True,1.0,1.0,0.3333333333333333,0.3333333333333333,0.11940298507462686,0.11940298507462686
2,True,1.0,1.0,0.5,0.5,0.33333333333333337,0.33333333333333337
43,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,1.0,1.0,0.25,0.25,0.18181818181818182,0.18181818181818182
3,True,0.0,0.0,0.0,0.0,0.0,0.0
4,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,1.0,1.0,0.5,0.5,0.18181818181818182,0.18181818181818182
1,False,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
2,True,1.0,1.0,0.5,0.5,0.16666666666666669,0.16666666666666669
2,True,0.0,0.0,0.0,0.0,0.0,0.0
12,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,1.0,1.0,0.16666666666666666,0.1,0.18181818181818182,0.18181818181818182
2,True,0.0,0.0,0.0,0.0,0.0,0.0
9,True,1.0,1.0,0.1111111111111111,0.1111111111111111,0.10526315789473685,0.10526315789473685
6,True,0.0,0.0,0.0,0.0,0.0,0.0
3,True,0.0,0.0,0.0,0.0,0.0,0.0
4,True,0.0,0.0,0.0,0.0,0.0,0.0
2,True,0.0,0.0,0.0,0.0,0.0,0.0
2,True,0.0,0.0,0.0,0.0,0.0,0.0
2,True,0.0,0.0,0.0,0.0,0.0,0.0
3,True,0.0,0.0,0.0,0.0,0.0,0.0
2,True,1.0,1.0,1.0,1.0,0.33333333333333337,0.33333333333333337
3,True,1.0,1.0,1.0,1.0,0.4615384615384615,0.4615384615384615
1,False,1.0,1.0,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.18181818181818182
3,True,1.0,1.0,1.0,1.0,0.4615384615384615,0.4615384615384615
1,False,0.0,0.0,0.0,0.0,0.0,0.0
3,True,1.0,1.0,0.3333333333333333,0.3333333333333333,0.15384615384615383,0.15384615384615383
4,True,0.0,0.0,0.0,0.0,0.0,0.0
2,True,0.0,1.0,0.0,0.25,0.0,0.16666666666666669
3,True,1.0,1.0,0.14285714285714285,0.25,0.15384615384615383,0.15384615384615383
1,False,0.0,0.0,0.0,0.0,0.0,0.0
8,True,0.0,0.0,0.0,0.0,0.0,0.0
4,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
1,False,1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182
2,True,0.0,0.0,0.0,0.0,0.0,0.0
2,True,0.0,0.0,0.0,0.0,0.0,0.0
2,True,0.0,0.0,0.0,0.0,0.0,0.0
2,True,1.0,1.0,0.25,0.14285714285714285,0.16666666666666669,0.16666666666666669
1,False,0.0,0.0,0.0,0.0,0.0,0.0
2,True,0.0,0.0,0.0,0.0,0.0,0.0
41,True,0.0,0.0,0.0,0.0,0.0,0.0
9,True,1.0,1.0,0.16666666666666666,0.14285714285714285,0.2105263157894737,0.2105263157894737
1,False,1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182
1,False,0.0,0.0,0.0,0.0,0.0,0.0
38,True,1.0,1.0,0.5,0.5,0.20833333333333334,0.29166666666666663
1,False,1.0,1.0,0.14285714285714285,0.14285714285714285,0.18181818181818182,0.18181818181818182
1,False,1.0,1.0,0.2,0.14285714285714285,0.18181818181818182,0.18181818181818182
4,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
70,True,0.0,0.0,0.0,0.0,0.0,0.0
2,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
57,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
1,False,1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182
3,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
57,True,0.0,0.0,0.0,0.0,0.0,0.0
22,True,1.0,1.0,1.0,1.0,0.25000000000000006,0.5000000000000001
1,False,0.0,0.0,0.0,0.0,0.0,0.0
16,True,1.0,1.0,1.0,1.0,0.23076923076923075,0.3076923076923077
57,True,1.0,1.0,1.0,1.0,0.17910447761194026,0.208955223880597
1,False,1.0,1.0,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.18181818181818182
22,True,0.0,1.0,0.0,0.2,0.0,0.06250000000000001
3,True,1.0,1.0,0.16666666666666666,0.125,0.15384615384615383,0.15384615384615383
3,True,0.0,0.0,0.0,0.0,0.0,0.0
5,True,1.0,1.0,0.1,0.1,0.13333333333333333,0.13333333333333333
5,True,0.0,0.0,0.0,0.0,0.0,0.0
6,True,0.0,0.0,0.0,0.0,0.0,0.0
14,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
2,True,0.0,0.0,0.0,0.0,0.0,0.0
33,True,1.0,1.0,1.0,1.0,0.27906976744186046,0.27906976744186046
1,False,0.0,0.0,0.0,0.0,0.0,0.0
1,False,1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182
1,False,0.0,0.0,0.0,0.0,0.0,0.0
4,True,0.0,0.0,0.0,0.0,0.0,0.0
2,True,1.0,0.0,0.1,0.0,0.16666666666666669,0.0
4,True,0.0,0.0,0.0,0.0,0.0,0.0
3,True,1.0,1.0,1.0,1.0,0.15384615384615383,0.15384615384615383
2,True,0.0,0.0,0.0,0.0,0.0,0.0
2,True,0.0,0.0,0.0,0.0,0.0,0.0
6,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
4,True,1.0,1.0,0.3333333333333333,0.3333333333333333,0.4285714285714285,0.4285714285714285
1,False,0.0,0.0,0.0,0.0,0.0,0.0
2,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182
5,True,1.0,1.0,0.5,0.5,0.26666666666666666,0.4
5,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
3,True,0.0,0.0,0.0,0.0,0.0,0.0
5,True,0.0,0.0,0.0,0.0,0.0,0.0
2,True,0.0,0.0,0.0,0.0,0.0,0.0
3,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182
57,True,1.0,1.0,0.3333333333333333,0.3333333333333333,0.11940298507462686,0.11940298507462686
3,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
4,True,0.0,1.0,0.0,0.14285714285714285,0.0,0.14285714285714288
14,True,0.0,0.0,0.0,0.0,0.0,0.0
2,True,1.0,1.0,0.3333333333333333,0.3333333333333333,0.16666666666666669,0.16666666666666669
1,False,1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182
2,True,1.0,1.0,0.2,0.14285714285714285,0.16666666666666669,0.16666666666666669
2,True,1.0,0.0,0.1,0.0,0.16666666666666669,0.0
3,True,1.0,1.0,0.25,0.2,0.15384615384615383,0.15384615384615383
1,False,0.0,0.0,0.0,0.0,0.0,0.0
3,True,0.0,0.0,0.0,0.0,0.0,0.0
14,True,0.0,0.0,0.0,0.0,0.0,0.0
3,True,1.0,1.0,0.25,0.16666666666666666,0.15384615384615383,0.15384615384615383
1,False,0.0,0.0,0.0,0.0,0.0,0.0
1,False,1.0,1.0,0.5,0.5,0.18181818181818182,0.18181818181818182
1,False,0.0,0.0,0.0,0.0,0.0,0.0
3,True,0.0,0.0,0.0,0.0,0.0,0.0
15,True,1.0,1.0,0.14285714285714285,0.1,0.08,0.08
2,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,1.0,1.0,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.18181818181818182
2,True,1.0,1.0,1.0,1.0,0.33333333333333337,0.33333333333333337
3,True,0.0,0.0,0.0,0.0,0.0,0.0
6,True,1.0,1.0,0.125,0.1111111111111111,0.125,0.125
2,True,0.0,0.0,0.0,0.0,0.0,0.0
3,True,0.0,0.0,0.0,0.0,0.0,0.0
2,True,0.0,0.0,0.0,0.0,0.0,0.0
2,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
2,True,1.0,1.0,1.0,1.0,0.33333333333333337,0.33333333333333337
57,True,1.0,1.0,0.3333333333333333,0.3333333333333333,0.11940298507462686,0.11940298507462686
16,True,1.0,1.0,0.1111111111111111,0.1,0.07692307692307693,0.07692307692307693
2,True,1.0,1.0,1.0,1.0,0.16666666666666669,0.16666666666666669
7,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
5,True,0.0,1.0,0.0,0.125,0.0,0.13333333333333333
9,True,0.0,0.0,0.0,0.0,0.0,0.0
3,True,0.0,0.0,0.0,0.0,0.0,0.0
3,True,1.0,1.0,0.2,0.25,0.4615384615384615,0.4615384615384615
4,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
2,True,1.0,1.0,0.3333333333333333,0.3333333333333333,0.16666666666666669,0.33333333333333337
57,True,1.0,1.0,0.14285714285714285,0.25,0.11940298507462686,0.08955223880597013
2,True,1.0,1.0,1.0,1.0,0.33333333333333337,0.33333333333333337
11,True,1.0,1.0,0.2,0.2,0.09523809523809525,0.09523809523809525
2,True,0.0,0.0,0.0,0.0,0.0,0.0
2,True,0.0,0.0,0.0,0.0,0.0,0.0
4,True,1.0,1.0,1.0,1.0,0.28571428571428575,0.28571428571428575
2,True,1.0,1.0,1.0,1.0,0.33333333333333337,0.33333333333333337
7,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182
16,True,0.0,0.0,0.0,0.0,0.0,0.0
3,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
3,True,0.0,0.0,0.0,0.0,0.0,0.0
3,True,1.0,1.0,0.25,0.25,0.4615384615384615,0.4615384615384615
5,True,0.0,0.0,0.0,0.0,0.0,0.0
9,True,0.0,0.0,0.0,0.0,0.0,0.0
7,True,0.0,0.0,0.0,0.0,0.0,0.0
3,True,0.0,0.0,0.0,0.0,0.0,0.0
2,True,0.0,0.0,0.0,0.0,0.0,0.0
10,True,1.0,1.0,0.14285714285714285,0.14285714285714285,0.10000000000000002,0.10000000000000002
2,True,0.0,0.0,0.0,0.0,0.0,0.0
4,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
82,True,1.0,1.0,0.2,0.2,0.02173913043478261,0.02173913043478261
1,False,1.0,1.0,0.5,0.5,0.18181818181818182,0.18181818181818182
1,False,1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182
9,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,1.0,1.0,0.2,0.2,0.18181818181818182,0.18181818181818182
